Pathway,Hydropower production deficit in the ZRB system,Deviation from natural condition in the Zamebezi Delta,Water deficit normalized w.r.t. irrigation demand,Total discounted construction cost,j_Hyd_n,j_Env_n,j_Irr_n,j_Cost_n
P0,71.59738146,3626033.75,1.283561404,0,0.004072564,0,1,1
P1,64.75653833,3238998.542,1.593306594,610.84212,0.4844825,0.488592266,0.617238941,0.939087793
P2,66.04333229,3239003.542,1.593302471,458.074068,0.394115189,0.488585954,0.617244036,0.954321581
P3,65.85873083,3234697.083,1.592507346,495.587556,0.407079142,0.494022416,0.618226594,0.950580796
P4,67.30447375,3234698.75,1.594208542,320.117316,0.305549368,0.494020313,0.616124378,0.968078409
P5,59.55010833,3225073.333,1.58076085,4820.38992,0.850112973,0.506171414,0.632742078,0.519318368
P6,58.76059979,3233798.958,1.578201271,6080.244,0.905557564,0.495156207,0.635905024,0.393687719
P7,62.18915,3232379.583,1.59191901,987.45444,0.664781748,0.496948023,0.618953617,0.901532611
P8,65.85802,3230796.042,1.584937108,1187.700996,0.407129062,0.498947082,0.627581355,0.881564342
P9,63.27532,3231962.708,1.592509808,803.27028,0.588503597,0.497474285,0.618223551,0.919899163
P10,66.71704375,3239005.833,1.594206256,383.953788,0.346802646,0.488583061,0.616127202,0.961712738
P11,70.8801,3233952.292,1.58806605,802.26,0.054444884,0.49496264,0.623714832,0.919999906
P12,68.73503646,3235510.208,1.594693125,197.573028,0.205085649,0.49299593,0.615525564,0.980298331
P13,59.83058208,3240262.917,1.582812002,3771.36624,0.830416223,0.486996123,0.63020741,0.623925345
P14,66.66374312,3233963.958,1.584533708,1098.801636,0.350545774,0.494947912,0.628079848,0.890429245
P15,59.32656083,3228094.792,1.580185298,4857.50388,0.865811979,0.502357133,0.633453304,0.515617423
P16,63.00695313,3231962.083,1.590982079,879.29904,0.607350121,0.497475074,0.62011141,0.912317695
P17,63.0492725,3231961.667,1.591914802,840.38412,0.60437817,0.4974756,0.618958818,0.916198229
P18,63.75676813,3238998.333,1.591915508,749.30592,0.554693077,0.488592529,0.618957945,0.925280403
P19,65.50783708,3239003.75,1.592736913,524.027868,0.431721258,0.488585691,0.617942912,0.947744773
P20,60.04200063,3232802.708,1.584994937,3717.534,0.815568993,0.496413871,0.627509894,0.62929341
P21,61.92932729,3234002.083,1.591917494,1034.15316,0.683028243,0.494899783,0.618955492,0.896875888
P22,68.21506542,3233955.833,1.585927752,958.841676,0.241601507,0.494958169,0.626357188,0.90438583
P23,67.33615,3233961.667,1.58545559,1024.681356,0.303324849,0.494950805,0.626940653,0.897820402
P24,63.51370313,3231962.292,1.592737819,767.87412,0.571762734,0.497474811,0.617941792,0.923428812
P25,62.48624896,3242724.583,1.591908727,942.91704,0.643917464,0.483888521,0.618966325,0.905973809
P26,71.65537313,3235291.875,1.588319821,761.268,0,0.493271553,0.62340124,0.924087563
P27,64.39044542,3238023.542,1.591909702,668.4027,0.510192003,0.489823104,0.61896512,0.933347944
P28,57.41577771,3215458.75,1.571782131,10028.23824,1,0.51830884,0.64383734,0
P29,69.11130063,3233963.958,1.586627931,900.357336,0.178661853,0.494947912,0.625491957,0.910217796
P30,67.85056396,3235516.667,1.594203173,263.412708,0.267199247,0.492987777,0.616131012,0.973732903
P31,70.03712417,3233955.625,1.587329679,848.406768,0.113644307,0.494958432,0.624624786,0.915398224
P32,59.50303937,3223336.667,1.581487425,4842.58656,0.853418471,0.508363778,0.631844228,0.517104955
P33,61.20292479,3246522.5,1.589650848,1188.29124,0.734041104,0.47909404,0.621756451,0.881505484
P34,71.40048771,3235501.458,1.596800733,40.991352,0.017899765,0.493006976,0.612921132,0.995912407
P35,66.37231667,3233969.167,1.584363129,1130.997396,0.371011697,0.494941337,0.628290638,0.887218735
P36,61.63525021,3236481.458,1.591927277,1083.11796,0.70368031,0.491769826,0.618943402,0.891993196
P37,63.98140333,3238999.167,1.592510738,712.19208,0.538917685,0.488591477,0.618222403,0.928981336
P38,67.66203813,3497768.125,2.092450942,263.412708,0.280438796,0.1619222,0.000431882,0.973732903
P39,57.65978229,3216154.583,1.57652871,9338.97912,0.98286436,0.517430422,0.637971855,0.068731825
P40,60.71677438,3241058.75,1.58145095,1949.55888,0.76818185,0.485991465,0.631889301,0.805593083
P41,66.34412292,3234696.458,1.593137458,426.433356,0.372991651,0.494023205,0.617447946,0.957476743
P42,70.55486792,3235512.708,1.5960707,87.13812,0.077284865,0.492992774,0.613823255,0.991310725
P43,58.70692625,3216937.917,1.577308054,6119.15904,0.90932688,0.516441544,0.637008797,0.389807173
P44,59.19293583,3222870.208,1.580533219,5975.07072,0.875196024,0.508952634,0.633023368,0.404175432
P45,64.85233646,3238024.375,1.592737079,595.8927,0.477754913,0.489822052,0.617942706,0.940578526
P46,62.71162625,3242725.417,1.592503987,905.8032,0.628089957,0.483887469,0.618230744,0.909674743
P47,61.10463687,3234987.917,1.582800467,1883.30052,0.740943541,0.493655269,0.630221665,0.812200261
P48,57.83956271,3223566.042,1.574013308,8681.62008,0.970238972,0.508074215,0.64108021,0.134282625
P49,60.91880812,3241526.042,1.583728915,1895.72664,0.753993684,0.485401557,0.629074355,0.810961148
P50,65.10023813,3239684.167,1.593136402,562.13466,0.460345593,0.487726735,0.617449252,0.943944824
P51,68.66209667,2965679.167,1.82424609,7493.3256,0.210207971,0.833629953,0.331860349,0.252777465
P52,60.30221625,3235558.542,1.585087229,2806.57044,0.797294905,0.492934914,0.627395846,0.72013325
P53,58.30265479,3217913.542,1.576794279,7456.764,0.937717536,0.515209917,0.637643684,0.25642333
P54,58.09532271,3225418.958,1.578486679,8054.68524,0.952277787,0.505735098,0.635552336,0.196799573
P55,69.08736958,3062672.5,1.827019631,6268.4688,0.180342451,0.711185815,0.328433003,0.374918241
P56,61.85614563,3239927.5,1.592519985,1046.00412,0.688167551,0.487419552,0.618210975,0.895694129
P57,71.43293458,3363513.75,1.449944258,761.268,0.015621128,0.331404583,0.794395911,0.924087563
P58,69.62936667,3235514.167,1.595347304,139.088688,0.142279777,0.492990933,0.614717176,0.986130297
P59,69.53786771,3150585.208,1.828731565,4891.95,0.148705448,0.600205034,0.326317518,0.512182511
P60,68.41292979,2953416.875,1.359613454,511.458036,0.227706142,0.849109839,0.90602029,0.948998216
P61,68.90240417,3005974.792,1.828206219,6866.3892,0.193331965,0.782760858,0.326966703,0.315294568
P62,69.86352542,3155669.792,1.359666779,273.309276,0.125835577,0.593786269,0.905954394,0.972746033
P63,62.8654575,3498136.042,2.092722848,840.38412,0.617286894,0.161457743,9.59E-05,0.916198229
P64,60.50940146,3233630.208,1.587331327,2752.7382,0.782744969,0.495369237,0.62462275,0.725501316
P65,61.40515771,3242016.25,1.591923375,1134.459,0.71983895,0.484782719,0.618948224,0.886873549
P66,69.20457562,3071948.958,1.359661438,364.387596,0.172111456,0.699475237,0.905960995,0.963663847
P67,63.60302875,3178826.25,1.447835627,8862.98076,0.565489688,0.564553615,0.797001607,0.116197626
P68,71.09632229,3526227.708,2.092314746,40.991352,0.039260303,0.125994894,0.000600183,0.995912407
P69,63.76403,3194160,1.447388748,8205.62196,0.5541831,0.545196328,0.797553829,0.181748402
P70,58.95982854,3228586.25,1.580430315,6026.41176,0.891566383,0.501736717,0.63315053,0.399055785
P71,67.86372042,2899614.167,1.359609308,607.121556,0.266275312,0.917030242,0.906025413,0.939458802
P72,58.06025063,3216902.083,1.577524829,8093.60028,0.954740785,0.516486779,0.636740922,0.192919027
P73,65.27033479,3239004.375,1.592505444,559.424028,0.448400263,0.488584902,0.618228945,0.944215124
P74,61.59278333,3236481.875,1.590995177,1122.03288,0.706662619,0.4917693,0.620095225,0.888112662
P75,63.38882208,3175481.667,1.444862969,9552.24024,0.580532719,0.568775808,0.800675007,0.047465765
P76,68.14465562,2931500,1.359610525,558.156756,0.246546155,0.876777646,0.906023909,0.944341494
P77,63.99346292,3193383.958,1.4511195,8151.78972,0.53807078,0.546176001,0.792943631,0.187116468
P78,69.43185771,3512213.958,2.092353392,139.088688,0.156150182,0.143685817,0.000552427,0.986130297
P79,58.52248292,3209193.542,1.579113229,7402.93176,0.922279729,0.526218023,0.63477809,0.261791395
P80,67.64237896,2859831.875,1.359591158,658.462476,0.281819395,0.967251306,0.906047841,0.934339167
P81,67.4408425,2833890.208,1.35708426,712.294716,0.295972638,1,0.909145687,0.928971102
P82,68.27135188,2893953.75,1.822405517,8839.9428,0.237648694,0.924175937,0.334134798,0.118494935
P83,68.48316812,2926937.708,1.825820881,8150.6844,0.222773534,0.882537072,0.329914333,0.187226689
P84,62.23395146,3504299.792,2.092800437,950.3406,0.661635488,0.153676641,0,0.905233544
P85,68.70416479,2987212.5,1.359642865,466.920636,0.207253665,0.806446327,0.905983946,0.953439415
P86,66.28343708,3067276.25,1.287788588,475.996788,0.377253418,0.705374052,0.994776348,0.952534356
P87,67.00689167,3185730.417,1.290338142,369.728748,0.32644758,0.555837812,0.99162579,0.963131236
P88,66.75117917,3141982.083,1.290237927,403.486788,0.344405428,0.611065598,0.991749628,0.959764938
P89,64.20278188,3202997.083,1.451687204,7524.85404,0.523370997,0.534040416,0.792242103,0.249633499
P90,66.22611083,3235941.042,1.586009046,1145.221428,0.381279252,0.492452047,0.626256731,0.885800337
